ID,Title,ShortDescrition,BookPoints,BoB,ReasonForBoB,status,ReasonForDeny,Schvalovatel,Created,Created By,CategoryID,gb_title,gb_authors,gb_pageCount,gb_categories,gb_subtitle,gb_publisher,gb_publishedDate,gb_description,gb_isbn_10,gb_isbn_13,gb_printType,gb_mainCategory,gb_language,gb_averageRating,gb_ratingsCount,gb_dim_height,gb_dim_width,gb_dim_thickness,gb_img_smallThumbnail,gb_img_thumbnail,gb_img_small,gb_img_medium,gb_img_large,gb_img_extraLarge,gb_previewLink,gb_infoLink,gb_canonicalVolumeLink,gb_isEbook,gb_saleability,gb_buyLink,gb_viewability,gb_publicDomain,gb_epub_available,gb_pdf_available,ai_category,ai_points,ai_thematic_area,ai_remove_flag,ai_reason,ai_model,ai_prompt_version
247,Zrození kmenového vůdce,"Ptáci tvoří hejna, vlci smečky a lidé kmeny, skupiny o sto dvaceti až sto padesáti lidech. A jak zjistíte, zda někdo patří do vašeho kmenu? Když se potkáte, zastavíte se a prohodíte pár slov. Ve firmách kmeny zajišťují, že se udělá, co je třeba udělat. Práce ale není hlavní důvod, proč kmeny vznikají. Kmeny jsou základním stavebním prvkem jakéhokoli rozsáhlejšího lidského úsilí. Mají větší význam než týmy, celé podniky a generální ředitelé. Jsou to právě kmeny, kdo v podniku rozhoduje o tom, zda se novému šéfovi bude dařit nebo zda ho vrzy nahradí někdo jiný. Některé kmeny vyžadují od svých členů maximální výkony a neustále se rozvíjejí. Jiné dělají jen to, co je nezbytně nutné. Co je příčinou tohoto rozdílu? Kmenoví vůdci!",3,True,"Ptáci tvoří hejna, vlci smečky a lidé kmeny, skupiny o sto dvaceti až sto padesáti lidech. A jak zjistíte, zda někdo patří do vašeho kmenu? Když se potkáte, zastavíte se a prohodíte pár slov. Ve firmách kmeny zajišťují, že se udělá, co je třeba udělat. Práce ale není hlavní důvod, proč kmeny vznikají. Kmeny jsou základním stavebním prvkem jakéhokoli rozsáhlejšího lidského úsilí. Mají větší význam než týmy, celé podniky a generální ředitelé. Jsou to právě kmeny, kdo v podniku rozhoduje o tom, zda se novému šéfovi bude dařit nebo zda ho vrzy nahradí někdo jiný. Některé kmeny vyžadují od svých členů maximální výkony a neustále se rozvíjejí. Jiné dělají jen to, co je nezbytně nutné. Co je příčinou tohoto rozdílu? Kmenoví vůdci!",Schváleno,,Plichta Jonáš (S),05.10.2024 14:22,Macek Matyáš (S-PEF),9,Zrození kmenového vůdce,"David Coleman Logan, John Paul King, Halee Fischer-Wright",355,,,,2014,,8073702525,9788073702526,BOOK,,cs,,,,,,,,,,,,http://books.google.cz/books?id=o8GFoAEACAAJ&dq=intitle:Zrozen%C3%AD+kmenov%C3%A9ho+v%C5%AFdce&hl=&cd=1&source=gbs_api,http://books.google.cz/books?id=o8GFoAEACAAJ&dq=intitle:Zrozen%C3%AD+kmenov%C3%A9ho+v%C5%AFdce&hl=&source=gbs_api,https://books.google.com/books/about/Zrozen%C3%AD_kmenov%C3%A9ho_v%C5%AFdce.html?hl=&id=o8GFoAEACAAJ,False,NOT_FOR_SALE,,NO_PAGES,False,False,False,2,2,Leadership,no,"Kniha je schválena. Spadá do kategorie 2, protože představuje konkrétní framework a proces pro vedení lidí v organizacích, známý jako 'kmenové vůdcovství'. Kniha se zaměřuje na praktické dovednosti a postupy, jak vést skupiny lidí (kmeny) v podnikovém prostředí. Standardní 2 body odpovídají obsahu a rozsah 355 stran nevyžaduje úpravu bodování.",gemini-2.5-pro,v1
248,Myšlením k bohatství pro 21. století,"Tato kniha je prezentací amerických životních hodnot par exelence. Vychází z tezí A. Carnegieho o tom, jak dosáhnout pomocí sebeovládání úspěchu. Správné zvládnutí různých situací a svých emocí je základem, který vede k dosažení jakýchkoliv cílů. Autor s příznačným křestním jménem předává své zkušenosti s permanentním pozitivním myšlením i čtenářům, z nichž chce udělat sebevědomé osobnosti. Kniha je aktualizovaná a doplněná příklady pro 21. Století a je tak pro dnešního čtenáře ještě přístupnější než kdy dříve.",2,True,"Tato kniha je prezentací amerických životních hodnot par exelence. Vychází z tezí A. Carnegieho o tom, jak dosáhnout pomocí sebeovládání úspěchu. Správné zvládnutí různých situací a svých emocí je základem, který vede k dosažení jakýchkoliv cílů. Autor s příznačným křestním jménem předává své zkušenosti s permanentním pozitivním myšlením i čtenářům, z nichž chce udělat sebevědomé osobnosti. Kniha je aktualizovaná a doplněná příklady pro 21. Století a je tak pro dnešního čtenáře ještě přístupnější než kdy dříve.",Čeká na schválení,,Plichta Jonáš (S),05.10.2024 14:25,Macek Matyáš (S-PEF),15,Myšlením k bohatství,Napoleon Hill,0,,pro 21. století,,2022,,802771396X,9788027713967,BOOK,,cs,,,,,,,,,,,,http://books.google.cz/books?id=NxSJzwEACAAJ&dq=intitle:My%C5%A1len%C3%ADm+k+bohatstv%C3%AD+pro+21.+stolet%C3%AD&hl=&cd=1&source=gbs_api,http://books.google.cz/books?id=NxSJzwEACAAJ&dq=intitle:My%C5%A1len%C3%ADm+k+bohatstv%C3%AD+pro+21.+stolet%C3%AD&hl=&source=gbs_api,https://books.google.com/books/about/My%C5%A1len%C3%ADm_k_bohatstv%C3%AD.html?hl=&id=NxSJzwEACAAJ,False,NOT_FOR_SALE,,NO_PAGES,False,False,False,1,1,,no,"Kniha je schválena. Jedná se o klasickou self-help literaturu, která se soustředí na změnu myšlení a motivaci k dosažení úspěchu, což odpovídá definici inspiračního čtení. Proto je zařazena do kategorie 1 a získává 1 bod. Kniha nenabízí komplexní procesy ani systémové rámce, ale spíše principy a filozofii, což je typické pro tuto kategorii.",gemini-2.5-pro,v1
249,Travel bible,"Praktická knížka pro začínající cestovatele, kteří sbírají odvahu na první cestu.",2,True,"Kniha se týká jedné z hodnot v Tiimi a je v ní spoustu možností pro ATP. Obsahuje jak praktické tipy, tak i popis duševního přínosu pro lidi, kteří se rozhodnou cestovat a návrhy jak tento přinos zužitkovat.",Schváleno,,,06.10.2024 13:05,Felčárek Štěpán (S-PEF),6,A Little Book on Travel Books,,144,Travel,,,1936,,,,BOOK,,en,,,,,,http://books.google.com/books/content?id=iMgsxb1wuKAC&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=iMgsxb1wuKAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,,,http://books.google.cz/books?id=iMgsxb1wuKAC&pg=PA99&dq=intitle:Travel+bible&hl=&cd=1&source=gbs_api,http://books.google.cz/books?id=iMgsxb1wuKAC&dq=intitle:Travel+bible&hl=&source=gbs_api,https://books.google.com/books/about/A_Little_Book_on_Travel_Books.html?hl=&id=iMgsxb1wuKAC,False,NOT_FOR_SALE,,NO_PAGES,False,False,False,1,1,,no,"Kniha je schválena, protože se zaměřuje na osobní růst a překonávání strachu z cestování, což spadá do kategorie osobního rozvoje. Dle popisu se jedná o motivační a inspirativní titul pro začátečníky, kteří 'sbírají odvahu', což plně odpovídá kategorii 1. Základní hodnocení jedním bodem je ponecháno, jelikož rozsah 144 stran je pro tento typ obsahu přiměřený a nevyžaduje úpravu bodování.",gemini-2.5-pro,v1
250,On dialogue,"Never before has there been a greater need for deeper listening and more open communication to cope with the complex problems facing our organizations, businesses and societies. Renowned scientist David Bohm believed there was a better way for humanity to discover meaning and to achieve harmony. He identified creative dialogue, a sharing of assumptions and understanding, as a means by which the individual, and society as a whole, can learn more about themselves and others, and achieve a renewed sense of purpose.",2,True,"Never before has there been a greater need for deeper listening and more open communication to cope with the complex problems facing our organizations, businesses and societies. Renowned scientist David Bohm believed there was a better way for humanity to discover meaning and to achieve harmony. He identified creative dialogue, a sharing of assumptions and understanding, as a means by which the individual, and society as a whole, can learn more about themselves and others, and achieve a renewed sense of purpose.",Schváleno,,,06.10.2024 20:40,Chamrád Michal (S-PEF),5,On Dialogue,David Bohm,148,Philosophy,,Routledge,2013-05-13,"Never before has there been a greater need for deeper listening and more open communication to cope with the complex problems facing our organizations, businesses and societies. Renowned scientist David Bohm believed there was a better way for humanity to discover meaning and to achieve harmony. He identified creative dialogue, a sharing of assumptions and understanding, as a means by which the individual, and society as a whole, can learn more about themselves and others, and achieve a renewed sense of purpose.",1135208514,9781135208516,BOOK,,en,,,,,,http://books.google.com/books/content?id=2ioeWVA3uS4C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=2ioeWVA3uS4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,,,http://books.google.cz/books?id=2ioeWVA3uS4C&printsec=frontcover&dq=intitle:On+dialogue&hl=&cd=1&source=gbs_api,http://books.google.cz/books?id=2ioeWVA3uS4C&dq=intitle:On+dialogue&hl=&source=gbs_api,https://books.google.com/books/about/On_Dialogue.html?hl=&id=2ioeWVA3uS4C,False,NOT_FOR_SALE,,PARTIAL,False,True,True,3,3,Komunikace & prodej,no,"Kniha je schválena, protože se hluboce věnuje tématu dialogu, což je klíčové pro oblasti komunikace, leadershipu i osobního rozvoje. Autor David Bohm představuje dialog nikoli jako soubor technik, ale jako nástroj pro hlubší porozumění a transformaci myšlení, což plně odpovídá kategorii Komplexní změna paradigmatu. Kniha proto získává 3 body; úprava bodů na základě počtu stran (148) není v tomto případě relevantní.",gemini-2.5-pro,v1
251,"The Matter of Facts: Skepticism, Persuasion, and Evidence in Science","How biases, the desire for a good narrative, reliance on citation metrics, and other problems undermine confidence in modern science.

Modern science is built on experimental evidence, yet scientists are often very selective in deciding what evidence to use and tend to disagree about how to interpret it. In The Matter of Facts, Gareth and Rhodri Leng explore how scientists produce and use evidence. They do so to contextualize an array of problems confronting modern science that have raised concerns about its reliability: the widespread use of inappropriate statistical tests, a shortage of replication studies, and a bias in both publishing and citing “positive” results. Before these problems can be addressed meaningfully, the authors argue, we must understand what makes science work and what leads it astray.",2,True,již potvrzeno zdenkem ,Schváleno,,Lustig Zdeněk,06.10.2024 22:20,Chamrád Michal (S-PEF),5,The Matter of Facts,"Gareth Leng, Rhodri Ivor Leng",377,Science,"Skepticism, Persuasion, and Evidence in Science",MIT Press,2020-04-14,"How biases, the desire for a good narrative, reliance on citation metrics, and other problems undermine confidence in modern science. Modern science is built on experimental evidence, yet scientists are often very selective in deciding what evidence to use and tend to disagree about how to interpret it. In The Matter of Facts, Gareth and Rhodri Leng explore how scientists produce and use evidence. They do so to contextualize an array of problems confronting modern science that have raised concerns about its reliability: the widespread use of inappropriate statistical tests, a shortage of replication studies, and a bias in both publishing and citing “positive” results. Before these problems can be addressed meaningfully, the authors argue, we must understand what makes science work and what leads it astray. The myth of science is that scientists constantly challenge their own thinking. But in reality, all scientists are in the business of persuading other scientists of the importance of their own ideas, and they do so by combining reason with rhetoric. Often, they look for evidence that will support their ideas, not for evidence that might contradict them; often, they present evidence in a way that makes it appear to be supportive; and often, they ignore inconvenient evidence. In a series of essays focusing on controversies, disputes, and discoveries, the authors vividly portray science as a human activity, driven by passion as well as by reason. By analyzing the fluidity of scientific concepts and the dynamic and unpredictable development of scientific fields, the authors paint a picture of modern science and the pressures it faces.",0262043882,9780262043885,BOOK,,en,,,,,,http://books.google.com/books/content?id=eVzbDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=eVzbDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,,,"http://books.google.cz/books?id=eVzbDwAAQBAJ&printsec=frontcover&dq=intitle:The+Matter+of+Facts:+Skepticism,+Persuasion,+and+Evidence+in+Science&hl=&cd=1&source=gbs_api","http://books.google.cz/books?id=eVzbDwAAQBAJ&dq=intitle:The+Matter+of+Facts:+Skepticism,+Persuasion,+and+Evidence+in+Science&hl=&source=gbs_api",https://books.google.com/books/about/The_Matter_of_Facts.html?hl=&id=eVzbDwAAQBAJ,False,NOT_FOR_SALE,,PARTIAL,False,False,True,3,3,,no,"Kniha je schválena. Získává 3 body, protože spadá do kategorie komplexní změny paradigmatu. Nenabízí konkrétní návody, ale představuje hlubokou kritiku vědeckého procesu, která mění pohled na objektivitu a fakta, což je vysoce relevantní pro kritické myšlení v kontextu celé společnosti. Počet stran odpovídá hloubce tématu a nevyžaduje úpravu bodování.",gemini-2.5-pro,v1
252,Tribes: We Need You to Lead Us,"A tribe is any group of people, large or small, who are connected to one another, a leader, and an idea. For millions of years, humans have been seeking out tribes, be they religious, ethnic, economic, political, or even musical (think of the Deadheads). It's our nature.

Now the Internet has eliminated the barriers of geography, cost, and time. All those blogs and social networking sites are helping existing tribes get bigger. But more important, they're enabling countless new tribes to be born—groups of ten or ten thousand or ten million who care about their iPhones, or a political campaign, or a new way to fight global warming. And so the key question: Who is going to lead us?",2,True,již potvrzeno zdenkem ,Schváleno,,Lustig Zdeněk,06.10.2024 22:27,Chamrád Michal (S-PEF),4,Tribes,Seth Godin,0,Business,We Need You to Lead Us,Piatkus Books,2008,"Tribes are everywhere, in companies large and small, and their members are hungry for connection, meaning, and change--in other words, for leadership. For the first time, explains Godin, everyone has an opportunity to lead, not just bosses. In ""Tribes,"" he explains how.",0749939753,9780749939755,BOOK,,en,3.5,2,,,,http://books.google.com/books/content?id=ft_PPQAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=ft_PPQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,,,http://books.google.cz/books?id=ft_PPQAACAAJ&dq=intitle:Tribes:+We+Need+You+to+Lead+Us&hl=&cd=1&source=gbs_api,http://books.google.cz/books?id=ft_PPQAACAAJ&dq=intitle:Tribes:+We+Need+You+to+Lead+Us&hl=&source=gbs_api,https://books.google.com/books/about/Tribes.html?hl=&id=ft_PPQAACAAJ,False,NOT_FOR_SALE,,NO_PAGES,False,False,False,1,1,Leadership,no,"Kniha je schválena, protože se věnuje leadershipu a budování komunit, což jsou relevantní témata. Jde o inspirativní čtení, které představuje koncepty a motivuje k akci, ale neposkytuje podrobné návody, proto je zařazena do kategorie 1 a získává 1 bod. Vzhledem k chybějícímu počtu stran se uplatňuje standardní bodování pro danou kategorii.",gemini-2.5-pro,v1
255,The Team Coach's Best Tools,,3,True,,Schváleno,,,07.10.2024 20:48,Piknerová Zuzana (S-PEF),18,"The Big Book of Team Coaching Games: Quick, Effective Activities to Energize, Motivate, and Guide Your Team to Success","Mary Scannell, Mike Mulvihill, Joanne Schlosser",241,Business & Economics,,McGraw Hill Professional,2013-07-19,"The fun and effective way to BOOST ENGAGEMENT and PRODUCTIVITY Teams that enjoy working together operate on a whole different energy level than teams that don't. They break down silos. They build stronger relationships. They retain what they have learned. And THEY DRIVE RESULTS. The Big Book of Team Coaching Games provides the structure and games you need to build and manage powerful teams. Packed with dozens of physical and verbal activities, it leads you step-by-step through the process of teaching team members how to identify their values, leverage their strengths, and reach their goals--and have fun while they’re doing it! Nothing can stop the momentum of a team that wants to get things done. The Big Book of Team Coaching Games is the ideal playbook for making sure your teams contribute more than their share to the bottom line.",0071813012,9780071813013,BOOK,,en,,,,,,http://books.google.com/books/content?id=4tle30FC6qwC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=4tle30FC6qwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,,,http://books.google.cz/books?id=4tle30FC6qwC&pg=PA21&dq=intitle:The+Team+Coach%27s+Best+Tools&hl=&cd=1&source=gbs_api,https://play.google.com/store/books/details?id=4tle30FC6qwC&source=gbs_api,https://play.google.com/store/books/details?id=4tle30FC6qwC,True,FOR_SALE,https://play.google.com/store/books/details?id=4tle30FC6qwC&rdid=book-4tle30FC6qwC&rdot=1&source=gbs_api,PARTIAL,False,True,True,2,2,Management,no,"Kniha je schválena, protože se jedná o praktickou příručku plnou konkrétních her a aktivit pro týmové kouče a manažery. Obsah spadá do kategorie 2, jelikož poskytuje nástroje a konkrétní postupy pro zlepšení týmové spolupráce a produktivity. Standardní hodnocení 2 body odpovídá této kategorii a není důvod jej měnit, protože rozsah 241 stran je pro tento typ knihy přiměřený a nevyžaduje úpravu bodů.",gemini-2.5-pro,v1
256,Positioning: The Battle for Your Mind,,2,True,,Schváleno,,,07.10.2024 20:51,Piknerová Zuzana (S-PEF),18,Positioning: The Battle for Your Mind,"Al Ries, Jack Trout",224,Business & Economics,,McGraw Hill Professional,2001-01-03,"The first book to deal with the problems of communicating to a skeptical, media-blitzed public, Positioning describes a revolutionary approach to creating a ""position"" in a prospective customer's mind-one that reflects a company's own strengths and weaknesses as well as those of its competitors. Writing in their trademark witty, fast-paced style, advertising gurus Ries and Trout explain how to: • Make and position an industry leader so that its name and message wheedles its way into the collective subconscious of your market-and stays there • Position a follower so that it can occupy a niche not claimed by the leader • Avoid letting a second product ride on the coattails of an established one. Positioning also shows you how to: • Use leading ad agency techniques to capture the biggest market share and become a household name • Build your strategy around your competition's weaknesses • Reposition a strong competitor and create a weak spot • Use your present position to its best advantage • Choose the best name for your product • Determine when-and why-less is more • Analyze recent trends that affect your positioning. Ries and Trout provide many valuable case histories and penetrating analyses of some of the most phenomenal successes and failures in advertising history. Revised to reflect significant developments in the five years since its original publication, Positioning is required reading for anyone in business today.",0071705872,9780071705875,BOOK,,en,,,,,,http://books.google.com/books/content?id=_BHj1OYgF7wC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=_BHj1OYgF7wC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,,,http://books.google.cz/books?id=_BHj1OYgF7wC&printsec=frontcover&dq=intitle:Positioning:+The+Battle+for+Your+Mind&hl=&cd=1&source=gbs_api,https://play.google.com/store/books/details?id=_BHj1OYgF7wC&source=gbs_api,https://play.google.com/store/books/details?id=_BHj1OYgF7wC,True,FOR_SALE,https://play.google.com/store/books/details?id=_BHj1OYgF7wC&rdid=book-_BHj1OYgF7wC&rdot=1&source=gbs_api,PARTIAL,False,True,True,2,2,Marketing,no,"Kniha je schválena. Jedná se o zásadní dílo v oblasti marketingu, které představuje konkrétní framework, postupy a případové studie pro budování pozice značky v mysli zákazníka. Obsah plně odpovídá kategorii 2 (Praktická dovednost, proces a nástroj), protože nabízí konkrétní návody a techniky. Standardní 2 body jsou adekvátní, jelikož rozsah knihy nevyžaduje žádnou úpravu bodování.",gemini-2.5-pro,v1
257,The Knowledge-Creating Company,,3,True,,Schváleno,,,07.10.2024 20:52,Piknerová Zuzana (S-PEF),,The Knowledge-creating Company,"Ikujirō Nonaka, Hirotaka Takeuchi",320,Business & Economics,How Japanese Companies Create the Dynamics of Innovation,OUP USA,1995,The authors contend that Japanese firms are successful because they are innovative--and not merely masters of imitation as some think--and because they create new knowledge and use it to produce successful products and technologies. Illustrations.,0195092694,9780195092691,BOOK,,en,4,8,,,,http://books.google.com/books/content?id=B-qxrPaU1-MC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=B-qxrPaU1-MC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,,,http://books.google.cz/books?id=B-qxrPaU1-MC&printsec=frontcover&dq=intitle:The+Knowledge-Creating+Company&hl=&cd=1&source=gbs_api,http://books.google.cz/books?id=B-qxrPaU1-MC&dq=intitle:The+Knowledge-Creating+Company&hl=&source=gbs_api,https://books.google.com/books/about/The_Knowledge_creating_Company.html?hl=&id=B-qxrPaU1-MC,False,NOT_FOR_SALE,,PARTIAL,False,True,True,3,3,Inovace & kreativita,no,"Kniha je schválena, protože představuje komplexní a vlivný model řízení znalostí v organizacích. Nejde o jednoduchý návod, ale o fundamentální změnu paradigmatu v chápání firemní inovace a učení, což plně odpovídá hodnocení 3. Tři body jsou přiděleny za kognitivně náročný obsah, který transformuje systémové uvažování o firmě jako o organismu vytvářejícím znalosti. Rozsah knihy je adekvátní pro hloubku probíraného tématu a nevyžaduje úpravu bodů.",gemini-2.5-pro,v1
260,The Team Academy: a true story of a community that learns by doing   ,,2,True,,Schváleno,,,07.10.2024 20:58,Piknerová Zuzana (S-PEF),8,ICIE 2014 Proceedings of the 2nd International Conference on Innovation and Entrepreneurship,Academic Conferences and Publishing Limited,373,Business & Economics,ICIE 2014,Academic Conferences Limited,2014-06-02,,1909507938,9781909507937,BOOK,,en,,,,,,http://books.google.com/books/content?id=0rUIBAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=0rUIBAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,,,http://books.google.cz/books?id=0rUIBAAAQBAJ&pg=PA254&dq=intitle:The+Team+Academy:+a+true+story+of+a+community+that+learns+by+doing&hl=&cd=1&source=gbs_api,https://play.google.com/store/books/details?id=0rUIBAAAQBAJ&source=gbs_api,https://play.google.com/store/books/details?id=0rUIBAAAQBAJ,True,FOR_SALE,https://play.google.com/store/books/details?id=0rUIBAAAQBAJ&rdid=book-0rUIBAAAQBAJ&rdot=1&source=gbs_api,PARTIAL,False,False,True,2,2,Inovace & kreativita,no,"Kniha je sborníkem z mezinárodní konference, což znamená, že obsahuje specifické výzkumné práce, případové studie a nové postupy v oblasti inovací a podnikání. Tento formát odpovídá kategorii H2 (Praktická dovednost, proces a nástroj), za kterou jsou standardně přiděleny 2 body. Počet stran 373 je dostatečný, ale nespadá do kategorie pro úpravu bodování, proto zůstávají 2 body. Téma plně odpovídá zaměření evaluace.",gemini-2.5-pro,v1
261,Scrum Mastery - The essential guide to scrum and agile project management,,1,True,,Schváleno,,,07.10.2024 20:59,Piknerová Zuzana (S-PEF),18,Scrum,Greg Caldwell,131,Architecture,Mastery - The Essential Guide to Scrum and Agile Project Management,Alakai Publishing LLC,2020-06-19,"You've done Scrum basics. Now master it. Want to move from ""running Scrum ceremonies"" to ""running Scrum that delivers""? Tired of process for process's sake? Scrum: Mastery — The Essential Guide to Scrum and Agile Project Management is the next-level Scrum guide. Inside, you'll deepen: · The Scrum master's toolkit for unblocking teams · How to run sprint planning, retros, and reviews that drive value · Backlog refinement as a continuous practice · How to handle scope changes mid-sprint · Coaching product owners and stakeholders · When to break the rules intentionally · How Scrum integrates with broader Agile and Lean practice Scrum mastery isn't about following the guide — it's about understanding what each rule is for. Scroll up, click ""Buy Now,"" and step into real Scrum mastery.",,,BOOK,,en,,,,,,http://books.google.com/books/content?id=y17sDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=y17sDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,,,http://books.google.cz/books?id=y17sDwAAQBAJ&printsec=frontcover&dq=intitle:Scrum+Mastery+-+The+essential+guide+to+scrum+and+agile+project+management&hl=&cd=1&source=gbs_api,https://play.google.com/store/books/details?id=y17sDwAAQBAJ&source=gbs_api,https://play.google.com/store/books/details?id=y17sDwAAQBAJ,True,FOR_SALE,https://play.google.com/store/books/details?id=y17sDwAAQBAJ&rdid=book-y17sDwAAQBAJ&rdot=1&source=gbs_api,PARTIAL,False,False,True,2,2,Management,no,"Kniha je schválena. Jedná se o praktickou příručku zaměřenou na zvládnutí konkrétní metodiky projektového řízení Scrum, což plně odpovídá kategorii 2 (Praktická dovednost, proces a nástroj). Standardní hodnocení jsou 2 body. Vzhledem k počtu 131 stran není aplikováno žádné snížení ani zvýšení bodů. Tematicky kniha jasně spadá do oblasti Managementu.",gemini-2.5-pro,v1
262,Grown Up Digital: How the Net Generation is Changing Your World,,3,True,,Schváleno,,Lustig Zdeněk,07.10.2024 21:04,Piknerová Zuzana (S-PEF),5,Grown Up Digital: How the Net Generation is Changing Your World,Don Tapscott,385,Business & Economics,,McGraw Hill Professional,2008-11-16,"SELECTED AS A 2008 BEST BUSINESS BOOK OF THE YEAR BY THE ECONOMIST The Net Generation Has Arrived. Are you ready for it? Chances are you know a person between the ages of 11 and 30. You've seen them doing five things at once: texting friends, downloading music, uploading videos, watching a movie on a two-inch screen, and doing who-knows-what on Facebook or MySpace. They're the first generation to have literally grown up digital--and they're part of a global cultural phenomenon that's here to stay. The bottom line is this: If you understand the Net Generation, you will understand the future. If you're a Baby Boomer or Gen-Xer: This is your field guide. A fascinating inside look at the Net Generation, Grown Up Digital is inspired by a $4 million private research study. New York Times bestselling author Don Tapscott has surveyed more than 11,000 young people. Instead of a bunch of spoiled “screenagers” with short attention spans and zero social skills, he discovered a remarkably bright community which has developed revolutionary new ways of thinking, interacting, working, and socializing. Grown Up Digital reveals: How the brain of the Net Generation processes information Seven ways to attract and engage young talent in the workforce Seven guidelines for educators to tap the Net Gen potential Parenting 2.0: There's no place like the new home Citizen Net: How young people and the Internet are transforming democracy Today's young people are using technology in ways you could never imagine. Instead of passively watching television, the “Net Geners” are actively participating in the distribution of entertainment and information. For the first time in history, youth are the authorities on something really important. And they're changing every aspect of our society-from the workplace to the marketplace, from the classroom to the living room, from the voting booth to the Oval Office. The Digital Age is here. The Net Generation has arrived. Meet the future.",0071641556,9780071641555,BOOK,,en,3.5,13,,,,http://books.google.com/books/content?id=DWlIY1PxkyYC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=DWlIY1PxkyYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,,,http://books.google.cz/books?id=DWlIY1PxkyYC&printsec=frontcover&dq=intitle:Grown+Up+Digital:+How+the+Net+Generation+is+Changing+Your+World&hl=&cd=1&source=gbs_api,https://play.google.com/store/books/details?id=DWlIY1PxkyYC&source=gbs_api,https://play.google.com/store/books/details?id=DWlIY1PxkyYC,True,FOR_SALE,https://play.google.com/store/books/details?id=DWlIY1PxkyYC&rdid=book-DWlIY1PxkyYC&rdot=1&source=gbs_api,PARTIAL,False,True,True,2,2,,no,"Kniha je schválena, protože analyzuje dopad 'Net generace' na společnost, což je klíčové téma pro management, leadership i marketing. Získává 2 body, jelikož spadá do kategorie H2 – nabízí konkrétní analýzy a praktické rady ('sedm způsobů, jak zaujmout talent', 'sedm pokynů pro vzdělavatele'), jak s touto generací pracovat. Nejedná se tedy jen o inspirativní čtení, ale o praktickou příručku založenou na výzkumu. Počet stran (385) je v běžném rozsahu a neovlivňuje bodové hodnocení.",gemini-2.5-pro,v1
